"ntid","link"
"('103', '/srv/http/notes/pages/html/use_sudo_password_in_script.html')"
"('94', '/srv/http/notes/pages/html/create_a_python_requirements.txt_file.html')"
"('414', '/srv/http/notes/pages/html/access_list_of_lists_element_with_for_loop.html')"
"('61', '/srv/http/notes/pages/html/create_a_ordered_dictionary.html')"
"('110', '/srv/http/notes/pages/html/white_house_market.html')"
"('2', '/srv/http/notes/pages/html/reminder_for_when_recovering_folders_from_backup.html')"
"('453', '/srv/http/notes/pages/html/get_filename_from_path_in_python.html')"
"('99', '/srv/http/notes/pages/html/insert_port_range_in_ufw.html')"
"('27', '/srv/http/notes/pages/html/send_script_output_to_journalctl.html')"
"('114', '/srv/http/notes/pages/html/connect_to_nordvpn.html')"
"('41', '/srv/http/notes/pages/html/create_dictionary_with_multiple_values.html')"
"('117', '/srv/http/notes/pages/html/configuring_lighttpd_web_server.html')"
"('451', '/srv/http/notes/pages/html/iterate_though_files_in_python.html')"
"('137', '/srv/http/notes/pages/html/tidy_keybind.html')"
"('26', '/srv/http/notes/pages/html/using_openssl_to_connect_externally.html')"
"('130', '/srv/http/notes/pages/html/see_indentation_errors.html')"
"('135', '/srv/http/notes/pages/html/open_a_port_for_an_app.html')"
"('6', '/srv/http/notes/pages/html/make_incremental_backups_with_tar.html')"
"('56', ""/srv/http/notes/pages/html/what_to_do_if_mysql_outupts_'no_default_values'.html"")"
"('422', '/srv/http/notes/pages/html/create_queries_log_in_mysql.html')"
"('136', '/srv/http/notes/pages/html/apply_css_by_element_name.html')"
"('11', '/srv/http/notes/pages/html/list_triggers_in_sqlite_db.html')"
"('58', '/srv/http/notes/pages/html/setting_up_a_nginx_server.html')"
"('64', '/srv/http/notes/pages/html/how_to_return_dictionary_keys_as_a_list_in_python?.html')"
"('84', '/srv/http/notes/pages/html/how_to_output_an_html_page_based_on_user_input.html')"
"('72', '/srv/http/notes/pages/html/execute_shell_commands_in_remote_servers_with_python.html')"
"('116', '/srv/http/notes/pages/html/add_clipboard_to_server_vim.html')"
"('13', '/srv/http/notes/pages/html/install_python_package_from_source.html')"
"('67', '/srv/http/notes/pages/html/getting_items_in_a_dictionary.html')"
"('32', '/srv/http/notes/pages/html/creating_a_line_break_in_markdown.html')"
"('437', '/srv/http/notes/pages/html/add_file_or_folder_to_gitignore.html')"
"('139', '/srv/http/notes/pages/html/keep_footer_bottom_of_page_but_visible.html')"
"('24', '/srv/http/notes/pages/html/give_write_permissions_to_multiple_users_on_a_folder.html')"
"('49', ""/srv/http/notes/pages/html/see_rowid's_in_a_no_id_table.html"")"
"('16', '/srv/http/notes/pages/html/create_an_empty_array_in_numpty_and_append_elements.html')"
"('29', '/srv/http/notes/pages/html/using_python_debugger_trepan3k.html')"
"('89', '/srv/http/notes/pages/html/enter/exit_d_environment.html')"
"('134', '/srv/http/notes/pages/html/how_to_use_php_code_sniffer.html')"
"('140', '/srv/http/notes/pages/html/insert_a_html_link_in_a_icon.html')"
"('43', '/srv/http/notes/pages/html/command_line_calculator.html')"
"('55', '/srv/http/notes/pages/html/show_triggers_in_sqlite-utils.html')"
